underlying,expiry,strike,option_type,bid,ask,iv,open_interest,volume,trade_date
AMZN,2025-04-11,180.0,put,0.33,0.35,0.187767,2140,521,2025-03-07
MSFT,2025-04-18,340.0,put,0.05,0.05,0.235892,2096,104,2025-03-06
AAPL,2025-03-07,180.0,call,5.24,5.39,0.216562,256,85,2025-03-03
AMZN,2025-03-07,220.0,call,0.01,0.01,0.203719,312,84,2025-03-06
AAPL,2025-03-28,180.0,put,1.55,1.59,0.203702,455,69,2025-03-05
GOOGL,2025-03-14,145.0,put,0.01,0.01,0.234373,154,37,2025-03-06
AAPL,2025-03-28,160.0,put,0.01,0.01,0.228578,660,218,2025-03-07
AMZN,2025-04-18,220.0,put,23.31,24.43,0.189641,652,32,2025-03-03
NVDA,2025-04-25,940.0,call,6.24,6.45,0.187116,127,74,2025-03-03
MSFT,2025-05-02,445.0,put,29.89,31.85,0.204804,109,20,2025-03-07
GOOGL,2025-03-07,190.0,call,0.01,0.01,0.208322,247,7,2025-03-04
MSFT,2025-04-11,385.0,put,1.53,1.59,0.215463,350,120,2025-03-06
NVDA,2025-04-04,1005.0,put,122.97,128.55,0.191379,190,26,2025-03-03
NVDA,2025-04-25,965.0,call,3.36,3.48,0.200594,2375,1072,2025-03-07
MSFT,2025-04-11,465.0,call,0.3,0.32,0.183509,239,130,2025-03-05
MSFT,2025-04-25,455.0,call,1.86,1.93,0.191656,202,14,2025-03-03
AMZN,2025-04-18,165.0,put,0.03,0.03,0.209299,1294,411,2025-03-06
AAPL,2025-03-21,220.0,call,0.01,0.01,0.201734,58,16,2025-03-07
GOOGL,2025-04-18,160.0,call,16.33,16.91,0.21843,539,76,2025-03-04
NVDA,2025-04-04,700.0,call,173.5,182.63,0.212089,56,11,2025-03-03
AMZN,2025-03-21,220.0,put,23.98,24.96,0.204983,46,12,2025-03-03
AMZN,2025-03-21,215.0,put,19.11,19.95,0.20347,335,202,2025-03-03
GOOGL,2025-03-14,150.0,put,0.01,0.01,0.216157,785,136,2025-03-04
MSFT,2025-04-04,500.0,put,80.26,85.51,0.187589,1409,534,2025-03-04
AAPL,2025-04-18,195.0,put,10.57,10.92,0.195686,2679,119,2025-03-03
NVDA,2025-04-18,700.0,call,174.4,183.65,0.216726,557,148,2025-03-07
AAPL,2025-04-04,220.0,call,0.01,0.01,0.202078,833,230,2025-03-07
GOOGL,2025-04-11,205.0,call,0.01,0.02,0.184303,912,17,2025-03-05
NVDA,2025-03-21,940.0,call,0.74,0.77,0.199549,491,69,2025-03-05
MSFT,2025-04-18,405.0,call,17.41,17.99,0.183,239,45,2025-03-05
AMZN,2025-04-18,230.0,call,0.02,0.03,0.184476,998,384,2025-03-06
GOOGL,2025-04-11,170.0,put,1.75,1.79,0.181698,390,138,2025-03-03
NVDA,2025-03-21,965.0,call,0.14,0.15,0.19328,417,48,2025-03-04
MSFT,2025-04-25,475.0,call,0.44,0.47,0.187568,407,74,2025-03-03
GOOGL,2025-04-25,160.0,put,0.66,0.68,0.205974,328,11,2025-03-03
GOOGL,2025-03-14,200.0,put,24.15,25.25,0.219912,180,6,2025-03-03
NVDA,2025-03-07,790.0,put,0.01,0.01,0.232829,503,12,2025-03-04
MSFT,2025-04-25,405.0,put,7.43,7.68,0.212098,88,23,2025-03-04
MSFT,2025-04-25,385.0,call,34.11,35.38,0.201276,1458,148,2025-03-05
AAPL,2025-04-11,215.0,put,28.27,29.66,0.218662,2082,127,2025-03-03
NVDA,2025-04-25,985.0,put,102.7,107.28,0.193435,408,75,2025-03-07
AAPL,2025-03-14,160.0,put,0.01,0.01,0.237871,370,15,2025-03-05
GOOGL,2025-04-11,200.0,call,0.05,0.05,0.177092,214,4,2025-03-03
GOOGL,2025-04-04,145.0,call,29.67,31.48,0.203449,829,195,2025-03-06
AMZN,2025-04-25,175.0,call,21.22,22.02,0.195936,385,42,2025-03-03
MSFT,2025-04-11,445.0,call,2.22,2.3,0.205382,755,231,2025-03-06
AAPL,2025-04-04,220.0,call,0.01,0.01,0.189554,335,27,2025-03-04
AMZN,2025-04-11,225.0,put,28.26,29.75,0.216384,2946,1572,2025-03-06
AMZN,2025-03-28,170.0,put,0.02,0.02,0.217548,106,66,2025-03-05
NVDA,2025-03-28,1050.0,call,0.01,0.01,0.197699,353,103,2025-03-05
AAPL,2025-03-21,170.0,put,0.11,0.11,0.220343,386,68,2025-03-04
AMZN,2025-03-14,160.0,call,34.14,36.16,0.2246,550,228,2025-03-07
MSFT,2025-03-07,415.0,put,3.23,3.3,0.223578,338,26,2025-03-04
MSFT,2025-05-02,415.0,put,11.89,12.25,0.211483,268,46,2025-03-07
AAPL,2025-04-25,160.0,call,25.55,26.93,0.1915,213,44,2025-03-03
AMZN,2025-04-04,185.0,put,0.92,0.95,0.204846,36,5,2025-03-06
AMZN,2025-03-21,170.0,call,24.83,25.97,0.192904,408,32,2025-03-04
GOOGL,2025-03-21,205.0,call,0.01,0.01,0.20869,361,133,2025-03-04
MSFT,2025-03-28,500.0,call,0.01,0.01,0.189747,1153,44,2025-03-04
AAPL,2025-04-25,185.0,put,5.16,5.46,0.215002,439,34,2025-03-04
AMZN,2025-03-28,175.0,call,20.13,21.12,0.216321,125,45,2025-03-05
AAPL,2025-03-21,195.0,call,0.52,0.54,0.20511,239,25,2025-03-04
NVDA,2025-03-28,1050.0,call,0.01,0.01,0.203306,758,203,2025-03-03
GOOGL,2025-03-14,185.0,call,0.11,0.11,0.194517,1269,630,2025-03-04
NVDA,2025-04-18,875.0,call,27.56,28.2,0.208996,355,79,2025-03-05
GOOGL,2025-04-18,170.0,put,2.25,2.32,0.199775,459,68,2025-03-06
MSFT,2025-03-07,375.0,call,39.23,41.08,0.234383,157,44,2025-03-04
MSFT,2025-03-28,340.0,call,73.58,78.56,0.211907,968,94,2025-03-05
NVDA,2025-03-28,920.0,put,45.93,47.39,0.200965,364,94,2025-03-03
MSFT,2025-04-25,435.0,call,5.72,5.91,0.203564,1041,31,2025-03-07
NVDA,2025-04-04,965.0,put,85.1,88.42,0.180555,611,169,2025-03-06
NVDA,2025-04-25,700.0,call,174.87,184.72,0.202275,1188,653,2025-03-06
GOOGL,2025-04-18,180.0,put,6.63,6.87,0.185375,319,122,2025-03-05
AMZN,2025-03-21,225.0,put,28.8,30.16,0.18087,1191,510,2025-03-04
MSFT,2025-05-02,395.0,call,27.59,28.42,0.214957,1664,409,2025-03-07
AMZN,2025-03-21,185.0,call,10.52,10.82,0.207584,178,26,2025-03-07
NVDA,2025-04-04,745.0,call,130.18,136.45,0.208994,54,15,2025-03-03
GOOGL,2025-04-11,200.0,call,0.08,0.09,0.202613,653,372,2025-03-07
NVDA,2025-04-04,1030.0,put,147.2,154.65,0.17172,78,27,2025-03-06
AAPL,2025-04-11,195.0,call,1.52,1.56,0.200903,313,34,2025-03-06
MSFT,2025-03-07,455.0,put,39.05,40.45,0.218002,697,65,2025-03-03
MSFT,2025-03-21,365.0,put,0.02,0.02,0.227274,296,37,2025-03-05
MSFT,2025-03-07,475.0,call,0.01,0.01,0.201115,290,4,2025-03-05
NVDA,2025-03-28,1030.0,put,147.43,155.54,0.191236,527,30,2025-03-03
GOOGL,2025-03-14,210.0,put,33.89,35.65,0.19744,1537,318,2025-03-06
GOOGL,2025-04-04,165.0,call,11.28,11.6,0.19921,103,8,2025-03-03
NVDA,2025-03-28,965.0,put,85.62,88.91,0.194232,108,25,2025-03-03
MSFT,2025-04-04,490.0,call,0.01,0.01,0.18437,498,96,2025-03-06
AAPL,2025-03-28,165.0,call,20.12,20.94,0.207484,819,351,2025-03-06
AMZN,2025-03-28,155.0,call,39.43,41.63,0.221422,1457,816,2025-03-03
NVDA,2025-04-11,810.0,put,2.99,3.08,0.209635,252,12,2025-03-04
MSFT,2025-03-14,475.0,call,0.01,0.01,0.210171,311,65,2025-03-05
MSFT,2025-04-11,340.0,call,74.64,78.8,0.196245,1653,991,2025-03-05
AAPL,2025-04-25,160.0,put,0.11,0.11,0.203959,204,89,2025-03-05
MSFT,2025-03-14,425.0,put,11.56,11.86,0.219829,790,307,2025-03-05
MSFT,2025-04-18,445.0,put,29.52,30.47,0.193373,220,73,2025-03-03
NVDA,2025-03-14,1005.0,call,0.01,0.01,0.209998,209,40,2025-03-04
AMZN,2025-04-11,155.0,put,0.01,0.01,0.228907,46,10,2025-03-05
GOOGL,2025-04-04,195.0,call,0.17,0.18,0.208023,583,37,2025-03-05
AMZN,2025-03-21,215.0,call,0.04,0.04,0.20936,1479,207,2025-03-06
AAPL,2025-04-18,220.0,put,32.67,34.74,0.193743,100,6,2025-03-05
NVDA,2025-03-21,1030.0,call,0.01,0.01,0.196092,168,42,2025-03-03
AMZN,2025-03-14,165.0,put,0.01,0.01,0.234817,530,25,2025-03-07
AAPL,2025-03-28,165.0,put,0.05,0.05,0.227062,316,92,2025-03-07
MSFT,2025-03-07,425.0,call,0.14,0.15,0.199405,1821,530,2025-03-05
AAPL,2025-04-11,165.0,call,20.8,21.61,0.233229,437,66,2025-03-03
MSFT,2025-04-18,385.0,put,1.69,1.75,0.207255,736,35,2025-03-07
AAPL,2025-04-18,175.0,call,12.24,12.64,0.203899,4142,1698,2025-03-04
MSFT,2025-04-11,455.0,call,0.73,0.76,0.183131,345,65,2025-03-05
GOOGL,2025-03-21,185.0,call,0.31,0.33,0.207926,405,106,2025-03-07
AMZN,2025-03-28,165.0,put,0.01,0.01,0.223927,43,5,2025-03-03
GOOGL,2025-04-11,145.0,put,0.01,0.01,0.210009,708,75,2025-03-04
AMZN,2025-04-11,155.0,put,0.01,0.01,0.212542,317,93,2025-03-04
AMZN,2025-03-21,200.0,put,5.94,6.11,0.19285,626,103,2025-03-04
GOOGL,2025-03-07,175.0,put,1.43,1.46,0.204095,483,137,2025-03-03
MSFT,2025-04-25,375.0,put,0.92,0.95,0.201262,272,39,2025-03-06
MSFT,2025-04-18,340.0,call,74.95,78.98,0.209126,513,165,2025-03-07
MSFT,2025-03-07,455.0,put,39.11,40.64,0.195394,673,88,2025-03-05
AAPL,2025-03-21,190.0,put,5.98,6.15,0.20465,381,24,2025-03-04
NVDA,2025-03-07,1030.0,put,150.63,158.24,0.220113,660,312,2025-03-03
AMZN,2025-04-18,180.0,call,16.75,17.29,0.221225,850,353,2025-03-05
GOOGL,2025-04-18,145.0,put,0.01,0.01,0.204941,1517,28,2025-03-05
NVDA,2025-03-14,895.0,call,6.59,6.76,0.230087,6884,1030,2025-03-03
NVDA,2025-04-04,790.0,put,1.28,1.33,0.233265,1727,208,2025-03-05
AMZN,2025-03-07,215.0,call,0.01,0.01,0.20012,610,85,2025-03-06
MSFT,2025-04-25,415.0,put,10.85,11.1,0.204528,338,87,2025-03-07
GOOGL,2025-03-28,165.0,put,0.41,0.43,0.201133,873,231,2025-03-06
MSFT,2025-04-25,365.0,call,51.84,54.51,0.213373,2022,509,2025-03-04
GOOGL,2025-03-28,145.0,call,29.4,31.48,0.204994,111,9,2025-03-06
GOOGL,2025-03-14,190.0,call,0.01,0.01,0.186477,620,28,2025-03-04
AMZN,2025-04-04,190.0,put,2.4,2.48,0.218175,424,37,2025-03-05
AMZN,2025-04-18,190.0,call,8.71,8.97,0.199536,642,102,2025-03-06
MSFT,2025-04-18,375.0,put,1.02,1.09,0.221443,4571,828,2025-03-06
AAPL,2025-03-28,195.0,put,10.08,10.39,0.203538,284,168,2025-03-05
NVDA,2025-04-25,700.0,put,0.06,0.06,0.229448,269,119,2025-03-07
NVDA,2025-04-04,1030.0,put,146.98,154.39,0.198888,204,38,2025-03-04
MSFT,2025-04-04,475.0,put,56.8,59.28,0.18418,1984,378,2025-03-04
NVDA,2025-04-11,920.0,call,7.6,7.87,0.19436,194,47,2025-03-04
GOOGL,2025-04-04,195.0,put,18.85,19.66,0.184376,286,30,2025-03-03
MSFT,2025-04-11,330.0,call,84.22,88.94,0.208941,790,287,2025-03-07
AAPL,2025-04-11,160.0,put,0.05,0.05,0.212445,85,41,2025-03-06
MSFT,2025-03-21,340.0,put,0.01,0.01,0.230254,505,58,2025-03-07
MSFT,2025-04-18,395.0,call,25.6,26.3,0.199124,112,66,2025-03-03
AMZN,2025-04-11,190.0,put,2.34,2.4,0.194024,221,8,2025-03-04
AMZN,2025-04-25,185.0,put,1.69,1.75,0.205066,419,44,2025-03-07
AMZN,2025-04-11,175.0,put,0.27,0.28,0.213648,118,24,2025-03-03
AMZN,2025-04-18,205.0,call,2.06,2.13,0.19815,1261,40,2025-03-06
AMZN,2025-04-04,220.0,call,0.05,0.05,0.178464,468,27,2025-03-04
AAPL,2025-03-14,190.0,call,0.9,0.94,0.203206,1111,164,2025-03-03
AAPL,2025-03-07,205.0,put,19.46,20.32,0.213963,92,2,2025-03-03
AAPL,2025-03-21,175.0,put,0.41,0.43,0.214551,29,2,2025-03-04
NVDA,2025-03-28,810.0,call,68.16,70.76,0.225379,100,12,2025-03-04
AMZN,2025-03-14,180.0,put,0.05,0.06,0.229077,328,80,2025-03-03
NVDA,2025-04-11,720.0,put,0.03,0.04,0.217748,22,1,2025-03-04
MSFT,2025-03-28,340.0,call,73.93,78.12,0.207767,649,185,2025-03-06
MSFT,2025-03-21,340.0,put,0.01,0.01,0.234593,553,186,2025-03-03
NVDA,2025-03-21,720.0,put,0.01,0.01,0.212194,419,188,2025-03-04
AMZN,2025-03-28,215.0,call,0.1,0.1,0.20341,334,89,2025-03-07
GOOGL,2025-04-18,145.0,call,30.18,31.66,0.197362,226,53,2025-03-03
MSFT,2025-04-11,395.0,put,2.23,2.29,0.185114,270,51,2025-03-05
NVDA,2025-03-07,940.0,call,0.01,0.01,0.231968,505,97,2025-03-06
AMZN,2025-04-25,185.0,call,12.85,13.21,0.196819,4645,1497,2025-03-03
MSFT,2025-04-25,445.0,call,3.59,3.73,0.198216,95,11,2025-03-03
AAPL,2025-04-04,180.0,call,7.66,7.87,0.198686,77,30,2025-03-03
AAPL,2025-03-21,200.0,put,14.46,15.0,0.214645,844,24,2025-03-03
GOOGL,2025-04-04,185.0,call,0.0,1.4,0.220258,467,110,2025-03-04
NVDA,2025-04-25,745.0,put,0.26,0.27,0.20369,418,36,2025-03-06
AMZN,2025-04-04,215.0,put,19.01,19.7,0.196446,1421,21,2025-03-06
AAPL,2025-04-25,160.0,call,25.55,26.72,0.19394,127,23,2025-03-07
MSFT,2025-04-18,425.0,put,14.8,15.35,0.18684,62,1,2025-03-03
AAPL,2025-03-07,200.0,call,0.01,0.01,0.225391,495,63,2025-03-05
GOOGL,2025-04-18,165.0,put,0.91,0.94,0.188173,234,26,2025-03-05
MSFT,2025-04-11,435.0,call,3.25,3.34,0.180936,141,16,2025-03-05
AMZN,2025-03-28,200.0,call,1.93,1.99,0.194847,36,4,2025-03-06
MSFT,2025-03-21,340.0,put,0.01,0.01,0.218509,70,30,2025-03-05
AMZN,2025-04-04,220.0,put,,24.81,0.211719,742,72,2025-03-05
AAPL,2025-03-28,175.0,call,10.79,11.26,0.199961,339,17,2025-03-06
NVDA,2025-03-21,830.0,call,47.68,49.07,0.199684,4821,781,2025-03-05
MSFT,2025-03-07,455.0,call,0.01,0.01,0.222775,118,26,2025-03-03
MSFT,2025-03-21,490.0,call,0.01,0.01,0.213223,989,189,2025-03-04
MSFT,2025-03-14,405.0,put,1.42,1.46,0.221249,559,297,2025-03-07
GOOGL,2025-03-14,205.0,put,29.0,30.43,0.187133,1189,170,2025-03-04
AMZN,2025-04-25,170.0,call,25.58,26.96,0.196374,28,2,2025-03-06
AAPL,2025-03-21,215.0,put,28.87,30.3,0.193872,356,123,2025-03-07
GOOGL,2025-04-04,185.0,put,9.97,10.26,0.189782,106,19,2025-03-06
GOOGL,2025-04-11,165.0,put,0.98,1.01,0.205781,1388,47,2025-03-04
MSFT,2025-04-25,425.0,put,14.69,15.24,0.179851,272,5,2025-03-06
GOOGL,2025-04-11,195.0,put,18.78,19.66,0.189744,89,35,2025-03-06
NVDA,2025-03-07,920.0,put,43.82,45.48,0.21449,1096,628,2025-03-04
AMZN,2025-03-14,180.0,call,15.03,15.54,0.228184,964,48,2025-03-04
AMZN,2025-03-14,230.0,call,0.01,0.01,0.224145,100,7,2025-03-06
AMZN,2025-03-14,205.0,call,0.21,0.22,0.225874,3657,153,2025-03-06
AMZN,2025-04-11,200.0,put,7.67,7.88,0.22491,864,330,2025-03-06
AMZN,2025-03-28,190.0,put,1.92,1.99,0.20904,260,136,2025-03-03
AMZN,2025-03-14,230.0,call,,0.01,0.205394,478,111,2025-03-04
AAPL,2025-03-21,190.0,put,5.94,6.1,0.211479,3326,787,2025-03-06
NVDA,2025-03-28,920.0,call,4.97,5.13,0.204784,496,54,2025-03-03
GOOGL,2025-04-18,185.0,put,10.54,10.9,0.208369,516,183,2025-03-07
AMZN,2025-03-14,180.0,call,15.03,15.6,0.222182,250,12,2025-03-03
AMZN,2025-04-25,195.0,call,6.37,6.5,0.196439,54,8,2025-03-04
NVDA,2025-04-18,1005.0,put,120.46,128.67,0.190587,3881,344,2025-03-06
AMZN,2025-04-11,180.0,call,16.08,16.81,0.199511,403,4,2025-03-04
MSFT,2025-04-25,500.0,put,79.14,83.69,0.176131,240,14,2025-03-03
MSFT,2025-03-14,435.0,put,19.66,20.21,0.204662,209,60,2025-03-05
MSFT,2025-03-21,395.0,call,21.57,22.36,0.213093,229,23,2025-03-05
AMZN,2025-03-07,230.0,call,0.01,0.01,0.204096,3476,230,2025-03-05
AAPL,2025-05-02,175.0,put,1.5,1.55,0.194011,93,36,2025-03-07
AAPL,2025-03-14,220.0,call,0.01,0.01,0.196008,513,73,2025-03-07
AMZN,2025-03-21,175.0,call,19.98,20.76,0.207242,305,40,2025-03-06
MSFT,2025-04-25,385.0,put,2.1,2.18,0.200303,1463,168,2025-03-03
GOOGL,2025-04-04,200.0,put,23.61,24.72,0.192404,195,63,2025-03-03
NVDA,2025-04-18,830.0,call,55.53,57.2,0.195803,435,108,2025-03-04
NVDA,2025-03-28,745.0,call,129.11,135.18,0.208801,943,171,2025-03-07
AAPL,2025-03-14,215.0,call,0.01,0.01,0.217736,387,28,2025-03-06
MSFT,2025-04-11,395.0,call,25.04,26.2,0.215045,2974,58,2025-03-03
AMZN,2025-04-04,215.0,put,18.77,19.62,0.167025,310,20,2025-03-04
NVDA,2025-03-28,700.0,call,172.64,182.15,0.214613,181,50,2025-03-03
MSFT,2025-04-04,385.0,put,0.93,0.96,0.201364,3489,1700,2025-03-04
AAPL,2025-04-25,165.0,put,0.27,0.29,0.203625,160,15,2025-03-07
NVDA,2025-04-25,765.0,call,113.49,118.49,0.21295,366,30,2025-03-07
AAPL,2025-03-07,210.0,call,0.01,0.01,0.213168,425,41,2025-03-04
AMZN,2025-04-18,165.0,put,0.03,0.03,0.205299,737,72,2025-03-04
MSFT,2025-04-18,425.0,call,7.81,8.05,0.18995,301,27,2025-03-03
AAPL,2025-03-14,155.0,put,0.01,0.01,0.250303,496,9,2025-03-04
GOOGL,2025-03-07,185.0,call,0.01,0.01,0.226062,640,271,2025-03-05
NVDA,2025-03-28,855.0,call,31.06,31.98,0.219618,1599,73,2025-03-07
NVDA,2025-04-04,830.0,call,52.57,54.08,0.213572,1128,285,2025-03-05
GOOGL,2025-03-07,170.0,put,0.01,0.01,0.235274,1551,184,2025-03-06
AAPL,2025-03-28,215.0,put,28.69,30.02,0.190858,1352,293,2025-03-06
AMZN,2025-04-04,155.0,call,39.54,41.73,0.225389,896,64,2025-03-05
GOOGL,2025-04-04,170.0,put,1.78,1.83,0.211546,378,61,2025-03-07
MSFT,2025-04-25,395.0,call,26.22,27.05,0.199957,253,36,2025-03-05
NVDA,2025-03-14,765.0,put,0.01,0.01,0.240691,234,11,2025-03-03
AMZN,2025-04-25,210.0,call,1.05,1.09,0.173718,540,104,2025-03-03
MSFT,2025-04-11,445.0,call,2.06,2.14,0.203558,532,112,2025-03-07
NVDA,2025-04-18,895.0,call,15.96,16.39,0.184458,43,2,2025-03-04
AAPL,2025-04-25,195.0,call,2.26,2.36,0.199264,264,33,2025-03-05
AMZN,2025-03-21,205.0,put,9.81,10.18,0.190188,602,22,2025-03-05
MSFT,2025-03-28,385.0,put,0.62,0.64,0.205743,400,43,2025-03-04
NVDA,2025-03-07,985.0,put,107.7,112.03,0.214788,535,374,2025-03-06
GOOGL,2025-04-25,210.0,put,32.67,34.46,0.189549,598,57,2025-03-05
AMZN,2025-04-25,200.0,put,7.34,7.52,0.186223,465,181,2025-03-05
MSFT,2025-03-07,465.0,call,0.01,0.01,0.211262,89,43,2025-03-06
GOOGL,2025-03-21,150.0,put,0.01,0.01,0.241824,45,1,2025-03-03
MSFT,2025-03-28,340.0,put,0.01,0.01,0.206405,583,184,2025-03-06
MSFT,2025-04-04,385.0,call,32.22,33.28,0.204825,150,30,2025-03-03
GOOGL,2025-04-25,205.0,call,0.04,0.05,0.178524,305,99,2025-03-06
MSFT,2025-03-28,475.0,call,0.03,0.03,0.197566,206,58,2025-03-05
AAPL,2025-03-07,150.0,put,0.01,0.01,0.231337,436,211,2025-03-03
GOOGL,2025-04-04,150.0,call,25.01,26.16,0.208948,141,9,2025-03-07
MSFT,2025-03-21,455.0,call,0.22,0.22,0.217856,1318,249,2025-03-04
MSFT,2025-03-21,435.0,call,1.6,1.64,0.223493,614,95,2025-03-06
NVDA,2025-04-11,940.0,put,62.11,64.3,0.177792,2257,883,2025-03-06
NVDA,2025-03-14,700.0,call,170.78,180.76,0.222609,243,60,2025-03-06
GOOGL,2025-04-18,195.0,put,18.92,19.65,0.206222,4748,561,2025-03-07
AAPL,2025-05-02,170.0,call,16.6,17.31,0.189346,84,9,2025-03-07
GOOGL,2025-03-14,180.0,put,5.27,5.42,0.188212,2019,1134,2025-03-04
AMZN,2025-04-18,190.0,call,8.79,9.04,0.196728,76,4,2025-03-04
AAPL,2025-04-18,165.0,put,0.37,0.38,0.227362,4419,551,2025-03-05
NVDA,2025-04-04,985.0,put,104.24,108.45,0.186385,615,57,2025-03-06
MSFT,2025-04-18,475.0,call,0.25,0.26,0.192833,87,13,2025-03-07
NVDA,2025-04-04,700.0,call,0.0,183.71,0.19944,268,14,2025-03-07
AMZN,2025-03-07,160.0,put,0.01,0.01,0.223805,220,112,2025-03-06
NVDA,2025-04-25,920.0,put,47.7,49.08,0.184752,76,18,2025-03-06
GOOGL,2025-03-14,210.0,call,0.01,0.01,0.19453,471,56,2025-03-07
MSFT,2025-03-14,375.0,put,0.01,0.01,0.226486,66,7,2025-03-04
NVDA,2025-03-14,895.0,put,24.39,25.09,0.227867,248,72,2025-03-04
AAPL,2025-03-28,160.0,put,0.01,0.01,0.217073,1125,227,2025-03-03
NVDA,2025-04-25,1005.0,call,0.6,0.63,0.177815,363,106,2025-03-03
MSFT,2025-04-18,500.0,call,0.03,0.03,0.185489,799,169,2025-03-03
NVDA,2025-03-28,810.0,put,1.41,1.45,0.209498,2643,311,2025-03-03
AMZN,2025-03-14,220.0,call,0.01,0.01,0.20718,2105,521,2025-03-07
MSFT,2025-03-28,340.0,put,0.01,0.01,0.232368,198,39,2025-03-07
NVDA,2025-03-28,965.0,put,85.96,89.08,0.191419,509,184,2025-03-07
AMZN,2025-03-21,165.0,call,29.7,31.03,0.207463,76,2,2025-03-05
GOOGL,2025-03-21,165.0,call,10.51,10.85,0.217166,132,11,2025-03-05
NVDA,2025-03-21,985.0,call,0.04,0.04,0.198105,255,32,2025-03-04
AAPL,2025-03-14,165.0,put,0.01,0.01,0.231095,50,6,2025-03-05
NVDA,2025-04-04,1050.0,put,166.19,175.78,0.182259,1574,868,2025-03-07
MSFT,2025-03-14,445.0,put,28.98,30.13,0.216352,180,17,2025-03-04
GOOGL,2025-03-28,180.0,call,1.64,1.69,0.198887,300,42,2025-03-06
MSFT,2025-03-28,415.0,call,9.42,9.61,0.203586,90,6,2025-03-03
NVDA,2025-04-04,1005.0,put,122.83,129.31,0.178272,719,180,2025-03-06
MSFT,2025-04-11,490.0,call,0.01,0.01,0.171947,1152,170,2025-03-05
NVDA,2025-04-18,875.0,call,25.64,26.29,0.195871,1427,427,2025-03-06
AMZN,2025-04-25,175.0,put,0.43,0.44,0.206737,409,275,2025-03-04
AAPL,2025-04-11,150.0,put,0.01,0.01,0.232369,140,63,2025-03-03
NVDA,2025-03-28,965.0,call,0.46,0.48,0.196687,737,144,2025-03-05
GOOGL,2025-03-14,155.0,put,0.01,0.01,0.205166,445,25,2025-03-04
AAPL,2025-04-18,185.0,put,4.56,4.67,0.200739,287,68,2025-03-04
NVDA,2025-04-18,875.0,put,20.93,21.42,0.198789,592,30,2025-03-06
AMZN,2025-03-07,195.0,put,1.64,1.69,0.241287,336,218,2025-03-04
MSFT,2025-04-25,355.0,put,0.16,0.17,0.204316,54,19,2025-03-05
MSFT,2025-04-18,365.0,call,51.09,53.74,0.194249,271,71,2025-03-05
AMZN,2025-04-04,230.0,call,0.01,0.01,0.185582,1216,143,2025-03-04
GOOGL,2025-04-04,155.0,put,0.07,0.07,0.206325,922,67,2025-03-03
MSFT,2025-03-21,500.0,put,81.74,86.08,0.196411,398,66,2025-03-05
GOOGL,2025-03-21,175.0,put,2.93,3.01,0.216548,1008,415,2025-03-05
NVDA,2025-04-11,965.0,call,1.01,1.05,0.178798,78,24,2025-03-06
AAPL,2025-03-07,170.0,put,0.01,0.01,0.237181,719,95,2025-03-06
NVDA,2025-04-18,1030.0,call,0.19,0.2,0.195133,588,32,2025-03-06
AAPL,2025-04-11,175.0,put,1.23,1.27,0.214394,2049,767,2025-03-05
GOOGL,2025-03-28,165.0,call,10.73,11.05,0.205047,122,22,2025-03-07
NVDA,2025-03-07,1050.0,put,168.66,180.77,0.188762,111,19,2025-03-05
AAPL,2025-04-25,200.0,put,14.38,14.87,0.183175,175,26,2025-03-03
GOOGL,2025-04-18,210.0,call,0.02,0.02,0.188009,285,116,2025-03-03
AAPL,2025-03-28,190.0,put,6.33,6.5,0.211143,2861,834,2025-03-07
AAPL,2025-04-25,180.0,call,9.25,9.48,0.213915,396,68,2025-03-06
AMZN,2025-04-04,230.0,put,33.18,35.0,0.189722,94,18,2025-03-06
NVDA,2025-04-04,875.0,call,23.9,24.4,0.219654,145,28,2025-03-04
AMZN,2025-03-21,160.0,put,0.01,0.01,0.217955,3782,1442,2025-03-03
AAPL,2025-03-28,180.0,put,1.55,1.61,0.208535,109,55,2025-03-06
AMZN,2025-03-28,200.0,call,1.96,2.03,0.202102,4416,887,2025-03-07
MSFT,2025-03-14,500.0,put,81.8,86.7,0.186839,1147,202,2025-03-03
AAPL,2025-04-18,155.0,put,0.02,0.02,0.206913,79,43,2025-03-07
MSFT,2025-03-21,365.0,put,0.03,0.03,0.23196,156,31,2025-03-04
GOOGL,2025-04-11,195.0,call,0.28,0.29,0.210366,65,10,2025-03-07
GOOGL,2025-04-04,160.0,put,0.47,0.49,0.24023,254,43,2025-03-04
MSFT,2025-04-04,340.0,put,0.01,0.01,0.220073,135,27,2025-03-04
AMZN,2025-03-21,175.0,put,0.02,0.02,0.213952,1128,244,2025-03-05
NVDA,2025-03-28,920.0,put,45.14,46.64,0.192657,308,124,2025-03-05
GOOGL,2025-04-04,165.0,call,11.45,11.84,0.221579,143,19,2025-03-04
MSFT,2025-04-18,385.0,call,33.45,34.52,0.193754,478,32,2025-03-03
AAPL,2025-03-07,190.0,put,4.95,5.1,0.22739,566,56,2025-03-05
AMZN,2025-04-04,155.0,call,39.57,41.66,0.196165,1623,299,2025-03-06
MSFT,2025-04-18,490.0,put,70.34,73.8,0.189285,1788,293,2025-03-04
MSFT,2025-04-11,355.0,put,0.2,0.21,0.238878,1486,466,2025-03-03
AAPL,2025-03-14,180.0,put,0.79,0.82,0.230525,56,1,2025-03-05
AMZN,2025-03-28,190.0,call,6.97,7.15,0.198017,1408,762,2025-03-07
